,column_name,description,num_unique_values,data_type,sample_values
51,EcogPtLang_bl,Everyday Cognition Participant Self-Report- Language at baseline,48,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
52,EcogPtVisspat_bl,Everyday Cognition Participant Self-Report- Visuospatial ability at baseline,39,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
53,EcogPtPlan_bl,Everyday Cognition Participant Self-Report- Planning at baseline,22,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
54,EcogPtOrgan_bl,Everyday Cognition Participant Self-Report- Organization at baseline,35,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
55,EcogPtDivatt_bl,Everyday Cognition Participant Self-Report- Divided Attention at baseline,16,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
56,EcogPtTotal_bl,Everyday Cognition Participant Self-Report- Total at baseline,224,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
57,EcogSPMem_bl,Everyday Cognition Partner Self-Report- Memory at baseline,48,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
58,EcogSPLang_bl,Everyday Cognition Partner Self-Report- Language at baseline,60,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
59,EcogSPVisspat_bl,Everyday Cognition Partner Self-Report- Visuospatial ability at baseline,46,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
60,EcogSPPlan_bl,Everyday Cognition Partner Self-Report- Planning at baseline,31,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
61,EcogSPOrgan_bl,Everyday Cognition Partner Self-Report- Organization at baseline,36,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
62,EcogSPDivatt_bl,Everyday Cognition Partner Self-Report- Divided Attention at baseline,20,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
63,EcogSPTotal_bl,Everyday Cognition Partner Self-Report- Total at baseline,328,float64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
64,Years_bl,Years from baseline (based on EXAMDATE),1905,float64,"[0.0, 0.0, 0.49828900000000004, 0.99931599999999998, 1.9986299999999999, 0.0, 0.47912399999999999, 1.0157399999999999, 1.51129, 3.02806]"
65,Month_bl,Months from baseline  (based on EXAMDATE),1905,float64,"[0.0, 0.0, 5.9672099999999997, 11.9672, 23.9344, 0.0, 5.7377000000000002, 12.1639, 18.098400000000002, 36.262300000000003]"
66,Month,Months from baseline to nearest 6 months  (based on EXAMDATE),23,int64,"[0, 0, 6, 12, 24, 0, 6, 12, 18, 36]"
67,M,Months from baseline (based on VISCODE),22,int64,"[0, 0, 6, 12, 24, 0, 6, 12, 18, 36]"
68,update_stamp,Update Stamp,231,object,"['2016-09-02 00:45:03.0', '2016-09-02 00:45:03.0', '2016-09-02 00:45:03.0', '2016-09-02 00:45:03.0', '2016-09-02 00:45:03.0', '2015-06-12 12:01:14.0', '2015-06-12 12:01:14.0', '2015-06-12 12:01:14.0', '2015-06-12 12:01:14.0', '2015-06-12 12:01:14.0']"
69,AD,AD diagnosis,2,int64,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
